topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Engineering Physics,Power Transmission and Efficiency,voltage;current;power loss,Eduqas;AQA;OCR;Edexcel,What happens if voltage is doubled for the same power transmission?,Power loss is halved,Power loss remains the same,"Current is halved, power loss reduced by factor of 4","Current doubles, power loss increases",C,"Doubling voltage halves current, so I²R loss becomes one quarter.",hard
Engineering Physics,Power Transmission and Efficiency,transmission;copper;resistance,Eduqas;AQA;OCR;Edexcel,Which of the following materials would be best for transmission lines?,Iron,Nickel,Copper,Plastic,C,"Copper has low resistance, making it ideal for reducing power losses.",easy
Engineering Physics,Power Transmission and Efficiency,step-down transformer;consumer voltage,Eduqas;AQA;OCR;Edexcel,What is the role of a step-down transformer in the grid?,To increase current for homes,To reduce voltage to safer levels for consumers,To store electrical energy,To cool high-voltage lines,B,Step-down transformers reduce transmission voltage to levels safe for home and commercial use.,easy
Engineering Physics,Stress-Strain in Real Materials,stress;definition;force;area,Eduqas;AQA;OCR;Edexcel,What is the definition of stress in a material?,Force per unit volume,Force per unit area,Extension per unit length,Energy stored per unit mass,B,Stress is defined as force divided by cross-sectional area: σ = F/A.,easy
Engineering Physics,Stress-Strain in Real Materials,strain;unit;dimensionless,Eduqas;AQA;OCR;Edexcel,What is the SI unit of strain?,Pascal,Newton,No units,Metre,C,"Strain is a ratio of lengths (ΔL/L), so it is dimensionless.",easy
Engineering Physics,Stress-Strain in Real Materials,young's modulus;stress;strain,Eduqas;AQA;OCR;Edexcel,What is the Young’s modulus of a material?,Stress × strain,Stress / strain,Strain / stress,Force × area,B,Young’s modulus E = stress / strain — a measure of stiffness.,easy
Engineering Physics,Stress-Strain in Real Materials,stress-strain;gradient;modulus,Eduqas;AQA;OCR;Edexcel,What does the gradient of the linear region of a stress-strain graph represent?,Strain energy,Stress,Young’s modulus,Breaking strength,C,"In the elastic region, the gradient of the stress-strain graph is the Young’s modulus.",medium
Engineering Physics,Stress-Strain in Real Materials,stress-strain;area;energy,Eduqas;AQA;OCR;Edexcel,What does the area under a stress-strain graph represent?,Strain,Elastic limit,Work done per unit volume,Ultimate strength,C,The area under the stress-strain curve gives the energy stored per unit volume (strain energy density).,medium
Engineering Physics,Stress-Strain in Real Materials,stress-strain;elastic limit;plastic deformation,Eduqas;AQA;OCR;Edexcel,What point on a stress-strain graph indicates permanent deformation?,Limit of proportionality,Elastic limit,Ultimate tensile strength,Breaking point,B,"Beyond the elastic limit, the material will not return to its original shape after the force is removed.",medium
Engineering Physics,Stress-Strain in Real Materials,ductile;plastic deformation;elastic limit,Eduqas;AQA;OCR;Edexcel,What happens to a ductile material after the elastic limit is exceeded?,It returns to original shape,It behaves elastically,It undergoes plastic deformation,It breaks immediately,C,A ductile material deforms plastically after the elastic limit is passed.,medium
Engineering Physics,Stress-Strain in Real Materials,ultimate tensile strength;stress;failure,Eduqas;AQA;OCR;Edexcel,What is the ultimate tensile strength (UTS) of a material?,The maximum elastic limit,The stress required to fracture,The maximum stress a material can withstand,The energy stored before yielding,C,UTS is the maximum stress a material can withstand while being stretched before it begins to neck.,medium
Engineering Physics,Stress-Strain in Real Materials,brittle;material;deformation,Eduqas;AQA;OCR;Edexcel,Which type of material shows little to no plastic deformation before breaking?,Ductile,Elastic,Brittle,Flexible,C,"Brittle materials fracture shortly after reaching the elastic limit, with little plastic deformation.",medium
Engineering Physics,Stress-Strain in Real Materials,stress;calculation;force;area,Eduqas;AQA;OCR;Edexcel,A wire with cross-sectional area 2 mm² experiences a force of 100 N. What is the stress?,5 × 10⁶ Pa,2 × 10⁴ Pa,2 × 10⁶ Pa,5 × 10⁴ Pa,A,Stress = F/A = 100 N / 2×10⁻⁶ m² = 5 × 10⁷ Pa.,hard
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational dynamics;moment of inertia;mass,Eduqas;AQA;OCR;Edexcel,What is the rotational equivalent of mass in linear motion?,Torque,Angular velocity,Moment of inertia,Angular momentum,C,Moment of inertia is the rotational equivalent of mass — it represents resistance to angular acceleration.,easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;units;kg m²,Eduqas;AQA;OCR;Edexcel,What is the unit of moment of inertia?,kg,kg·m/s,kg·m²,N·m,C,"Moment of inertia has units of kg·m², combining mass and the square of the distance from the axis.",easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,torque;angular acceleration;inertia,Eduqas;AQA;OCR;Edexcel,"Which formula correctly relates torque (τ), moment of inertia (I), and angular acceleration (α)?",τ = I × α,τ = α / I,τ = I / α,τ = α² × I,A,The rotational form of Newton’s second law: τ = Iα.,easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;distribution;axis,Eduqas;AQA;OCR;Edexcel,What happens to the moment of inertia if mass is distributed farther from the axis of rotation?,It decreases,It increases,It stays constant,It becomes zero,B,Moment of inertia increases with distance squared from the axis: I = Σmr².,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational inertia;solid cylinder;formula,Eduqas;AQA;OCR;Edexcel,"For a solid cylinder rotating about its central axis, what is its moment of inertia?",(1/2)MR²,MR²,(2/5)MR²,(1/3)MR²,A,The moment of inertia for a solid cylinder = (1/2)MR².,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular momentum;conservation;torque,Eduqas;AQA;OCR;Edexcel,What physical quantity is conserved when no external torque acts on a rotating system?,Angular acceleration,Moment of inertia,Angular momentum,Torque,C,Conservation of angular momentum applies when no external torque is present.,medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular momentum;moment of inertia;rotation,Eduqas;AQA;OCR;Edexcel,An object spins faster when its mass moves closer to its axis. Why?,Moment of inertia increases,Angular momentum decreases,Moment of inertia decreases and angular speed increases to conserve angular momentum,Torque is increased,C,"As moment of inertia decreases, angular velocity must increase to conserve angular momentum.",medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,rotational energy;kinetic;angular velocity,Eduqas;AQA;OCR;Edexcel,What is the rotational analogue of kinetic energy?,(1/2)mv²,(1/2)Iω²,Iω,F×d,B,"Rotational kinetic energy = (1/2)Iω², where I is moment of inertia and ω is angular velocity.",easy
Engineering Physics,Rotational Dynamics and Moment of Inertia,moment of inertia;disk;calculation,Eduqas;AQA;OCR;Edexcel,A disk has mass 2 kg and radius 0.5 m. What is its moment of inertia about its center?,0.25 kg·m²,0.5 kg·m²,1.0 kg·m²,0.125 kg·m²,B,"For a solid disk, I = (1/2)MR² = 0.5 × 2 × (0.5)² = 0.25 kg·m².",medium
Engineering Physics,Rotational Dynamics and Moment of Inertia,angular acceleration;torque;rotation,Eduqas;AQA;OCR;Edexcel,Which of the following increases the angular acceleration of a rotating object?,Increasing the moment of inertia,Decreasing the torque,Increasing the torque,Increasing the mass near the axis,C,"Angular acceleration α = τ/I, so increasing torque increases α.",easy
Thermal Physics,Thermodynamic Processes,thermodynamics;process;isothermal,Eduqas;AQA;OCR;Edexcel,Which thermodynamic process occurs at constant temperature?,Isobaric,Isochoric,Isothermal,Adiabatic,C,Isothermal processes maintain constant temperature throughout.,easy
Thermal Physics,Thermodynamic Processes,adiabatic;heat transfer;thermodynamics,Eduqas;AQA;OCR;Edexcel,"In an adiabatic process, which quantity is constant?",Volume,Temperature,Internal energy,Heat transfer,D,Adiabatic processes involve no heat exchange (Q = 0).,medium
Thermal Physics,Thermodynamic Processes,isothermal;internal energy;work,Eduqas;AQA;OCR;Edexcel,In which process is work done by a gas with no change in internal energy?,Adiabatic,Isothermal,Isochoric,Isobaric,B,"In isothermal processes (ΔT = 0), ΔU = 0, so Q = W.",medium
Thermal Physics,Thermodynamic Processes,first law;thermodynamics;ΔU = Q - W,Eduqas;AQA;OCR;Edexcel,Which equation represents the first law of thermodynamics?,ΔQ = ΔU + W,ΔU = Q - W,Q = mcΔT,P = F/A,B,"The first law is ΔU = Q - W (Q is heat added, W is work done by the system).",easy
Thermal Physics,Thermodynamic Processes,internal energy;first law;calculation,Eduqas;AQA;OCR;Edexcel,A gas absorbs 500 J of heat and does 200 J of work. What is the change in internal energy?,300 J,700 J,-300 J,100 J,A,ΔU = Q - W = 500 - 200 = 300 J.,medium
Thermal Physics,Thermodynamic Processes,work;cycle;PV diagram,Eduqas;AQA;OCR;Edexcel,What is the net work done during a complete thermodynamic cycle?,Zero,Equal to heat absorbed,Equal to internal energy change,Equal to area enclosed on PV diagram,D,"In a PV diagram, work is the area enclosed by the cycle.",hard
Thermal Physics,Thermodynamic Processes,isobaric;pressure;thermodynamics,Eduqas;AQA;OCR;Edexcel,Which process occurs at constant pressure?,Isothermal,Adiabatic,Isobaric,Isochoric,C,Isobaric processes occur at constant pressure.,easy
Thermal Physics,Thermodynamic Processes,isochoric;no work;constant volume,Eduqas;AQA;OCR;Edexcel,Which process results in no work being done by the gas?,Adiabatic,Isochoric,Isothermal,Isobaric,B,Isochoric (constant volume) processes do no work because W = PΔV = 0.,medium
Thermal Physics,Thermodynamic Processes,isothermal;heat;work;first law,Eduqas;AQA;OCR;Edexcel,A gas expands isothermally and does 400 J of work. How much heat is absorbed?,400 J,0 J,-400 J,Depends on volume,A,"In isothermal expansion, ΔU = 0 → Q = W = 400 J.",medium
Thermal Physics,Thermodynamic Processes,adiabatic;compression;temperature,Eduqas;AQA;OCR;Edexcel,"During adiabatic compression, what happens to the temperature of the gas?",It decreases,It remains constant,It increases,It becomes zero,C,"In adiabatic compression, work is done on the gas without heat loss, so internal energy and temperature increase.",hard
Thermal Physics,Temperature and Thermometers,thermometers;temperature;resistance,Eduqas;AQA;OCR;Edexcel,Which of the following is a physical property used in thermometers to measure temperature?,Colour,Mass,Density,Electrical resistance,D,"Temperature can be measured using physical properties like electrical resistance, which changes with temperature.",medium
Thermal Physics,Temperature and Thermometers,celsius scale;fixed points;freezing point,Eduqas;AQA;OCR;Edexcel,What is the fixed point on the Celsius scale that corresponds to 0 °C?,Boiling point of water,Triple point of water,Freezing point of water,Absolute zero,C,0 °C is defined as the freezing point of pure water at standard atmospheric pressure.,easy
Thermal Physics,Temperature and Thermometers,kelvin scale;absolute zero;temperature,Eduqas;AQA;OCR;Edexcel,Which temperature scale is based on absolute zero?,Celsius,Fahrenheit,Kelvin,Rankine,C,"The Kelvin scale starts at absolute zero, the theoretical point where particles have minimal kinetic energy.",easy
Thermal Physics,Temperature and Thermometers,temperature conversion;celsius to kelvin,Eduqas;AQA;OCR;Edexcel,Convert a temperature of 27 °C to Kelvin.,273 K,300 K,246 K,327 K,B,K = °C + 273 → 27 + 273 = 300 K.,easy
Thermal Physics,Temperature and Thermometers,mercury;thermometer;thermal expansion,Eduqas;AQA;OCR;Edexcel,Which property makes mercury suitable for use in thermometers?,Poor thermal conductivity,High specific heat capacity,Visible colour change,Uniform expansion with temperature,D,"Mercury expands uniformly with temperature, making it ideal for thermometers.",medium
Thermal Physics,Temperature and Thermometers,absolute zero;celsius;temperature scale,Eduqas;AQA;OCR;Edexcel,At what temperature does absolute zero occur on the Celsius scale?,-100 °C,-273 °C,0 °C,-273.15 °C,D,"Absolute zero is -273.15 °C, where kinetic energy of particles is minimal.",medium
Thermal Physics,Temperature and Thermometers,thermocouple;low temperature;measurement,Eduqas;AQA;OCR;Edexcel,Which thermometer is best for measuring very low temperatures near absolute zero?,Mercury thermometer,Alcohol thermometer,Thermocouple,Infrared thermometer,C,"Thermocouples are suitable for measuring a wide range of temperatures, including cryogenic.",hard
Thermal Physics,Temperature and Thermometers,gas thermometer;temperature measurement;expansion,Eduqas;AQA;OCR;Edexcel,A thermometer uses the expansion of a gas to measure temperature. What type of thermometer is this?,Mercury-in-glass,Gas thermometer,Resistance thermometer,Thermocouple,B,Gas thermometers measure temperature by detecting changes in gas pressure or volume.,medium
Thermal Physics,Temperature and Thermometers,kelvin scale;scientific use;absolute zero,Eduqas;AQA;OCR;Edexcel,Why is the Kelvin scale preferred in scientific calculations?,It includes negative values,It aligns with human perception,It starts at absolute zero,It uses water's boiling point as 0,C,Kelvin starts at absolute zero and is directly proportional to average kinetic energy of particles.,easy
Thermal Physics,Temperature and Thermometers,resistance thermometer;temperature calculation,Eduqas;AQA;OCR;Edexcel,"A platinum resistance thermometer shows 15.3 Ω at 0 °C and 20.4 Ω at 100 °C. If its resistance is 18.6 Ω, estimate the temperature.",70 °C,60 °C,80 °C,90 °C,B,T = [(18.6 - 15.3)/(20.4 - 15.3)] × 100 = (3.3 / 5.1) × 100 ≈ 64.7 ≈ 60 °C.,hardcore
Thermal Physics,Kinetic Theory of Gases,kinetic theory;average kinetic energy;temperature,Eduqas;AQA;OCR;Edexcel,"According to kinetic theory, which quantity is directly proportional to the average kinetic energy of gas molecules?",Volume,Pressure,Temperature in °C,Temperature in Kelvin,D,Average kinetic energy is directly proportional to absolute (Kelvin) temperature.,medium
Thermal Physics,Kinetic Theory of Gases,kinetic energy;temperature;gas molecules,Eduqas;AQA;OCR;Edexcel,What does the equation E<sub>k</sub> = (3/2)kT represent?,Work done by a gas,Pressure-volume relationship,Average kinetic energy per molecule,Internal energy of a solid,C,It gives the average kinetic energy per gas molecule as a function of absolute temperature.,hard
Thermal Physics,Kinetic Theory of Gases,ideal gas assumptions;collisions;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which assumption is made in the kinetic theory of ideal gases?,Gas particles attract each other,Collisions are inelastic,Volume of molecules is significant,Time of collisions is negligible compared to time between collisions,D,This simplifies calculations and is valid for ideal gases at low pressure.,medium
Thermal Physics,Kinetic Theory of Gases,ideal gas;assumptions;forces,Eduqas;AQA;OCR;Edexcel,Which of the following is NOT an assumption of the kinetic theory of ideal gases?,Gas particles are in constant random motion,Gas particles exert forces on each other,Collisions are perfectly elastic,Volume of individual gas particles is negligible,B,Ideal gas theory assumes no intermolecular forces between particles.,easy
Thermal Physics,Kinetic Theory of Gases,rms speed;temperature;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which statement about the root mean square (rms) speed of gas molecules is correct?,It decreases with temperature,It is constant for all gases,It increases with the square root of temperature,It is independent of molecular mass,C,"v<sub>rms</sub> ∝ √T, so it increases as temperature increases.",medium
Thermal Physics,Kinetic Theory of Gases,average kinetic energy;Boltzmann constant;temperature,Eduqas;AQA;OCR;Edexcel,Calculate the average kinetic energy of a gas molecule at 400 K. (k = 1.38×10⁻²³ J/K),8.28×10⁻²¹ J,6.21×10⁻²¹ J,4.14×10⁻²¹ J,1.66×10⁻²¹ J,B,E = (3/2)kT = 1.5 × 1.38×10⁻²³ × 400 ≈ 6.21×10⁻²¹ J.,hard
Thermal Physics,Kinetic Theory of Gases,pressure;temperature;constant volume,Eduqas;AQA;OCR;Edexcel,What happens to the pressure of a gas if the temperature doubles at constant volume?,It doubles,It halves,It remains constant,It quadruples,A,"From kinetic theory and the ideal gas law, P ∝ T when volume is constant.",medium
Thermal Physics,Kinetic Theory of Gases,motion;gas particles;kinetic theory,Eduqas;AQA;OCR;Edexcel,Which best describes the motion of gas particles in an ideal gas?,They vibrate around fixed points,They move in circles,They move randomly in straight lines until colliding,They move slowly due to intermolecular forces,C,"Ideal gas particles move in random straight-line motion, with elastic collisions.",easy
Thermal Physics,Kinetic Theory of Gases,pressure;temperature;collisions,Eduqas;AQA;OCR;Edexcel,Why does pressure increase when gas temperature increases at constant volume?,Particles become heavier,More particles are added,Particles collide more frequently and with more force,Volume expands to balance pressure,C,"Higher temperature means more kinetic energy, causing more frequent and forceful collisions.",medium
Thermal Physics,Kinetic Theory of Gases,kinetic energy;temperature;boltzmann constant,Eduqas;AQA;OCR;Edexcel,A gas has an average kinetic energy of 6.21×10⁻²¹ J. What is its temperature? (k = 1.38×10⁻²³ J/K),200 K,300 K,400 K,600 K,C,T = (2/3)(E/k) = (2/3) × (6.21×10⁻²¹ / 1.38×10⁻²³) ≈ 400 K.,hardcore
Thermal Physics,Specific Heat Capacity,specific heat capacity;energy;temperature change,Eduqas;AQA;OCR;Edexcel,Which equation defines specific heat capacity?,Q = mc²,Q = mcΔT,Q = mΔT,Q = ΔT/c,B,Specific heat capacity is defined by Q = mcΔT.,easy
Thermal Physics,Specific Heat Capacity,units;specific heat capacity;SI,Eduqas;AQA;OCR;Edexcel,What are the SI units of specific heat capacity?,J/kg,J/kg·K,W/kg·K,J/mol·K,B,Specific heat capacity is measured in joules per kilogram per kelvin (J/kg·K).,easy
Thermal Physics,Specific Heat Capacity,energy;calculation;specific heat capacity,Eduqas;AQA;OCR;Edexcel,Calculate the energy required to raise the temperature of 2.0 kg of water by 10 °C. (c = 4200 J/kg·K),42000 J,84000 J,21000 J,63000 J,B,Q = mcΔT = 2 × 4200 × 10 = 84000 J.,medium
Thermal Physics,Specific Heat Capacity,specific heat capacity;inverse calculation,Eduqas;AQA;OCR;Edexcel,A 500 g block of metal is heated and its temperature rises by 15 °C. It absorbs 7500 J of energy. What is its specific heat capacity?,1000 J/kg·K,500 J/kg·K,1500 J/kg·K,750 J/kg·K,A,c = Q/(mΔT) = 7500 / (0.5 × 15) = 1000 J/kg·K.,hard
Thermal Physics,Specific Heat Capacity,water;specific heat capacity;thermal properties,Eduqas;AQA;OCR;Edexcel,Why does water have a high specific heat capacity?,Its molecules are heavy,It conducts heat well,It requires more energy to raise temperature,It evaporates quickly,C,Water's high specific heat means more energy is needed to raise its temperature.,medium
Thermal Physics,Specific Heat Capacity,thermal properties;temperature change;materials,Eduqas;AQA;OCR;Edexcel,What does a large specific heat capacity indicate about a material?,It heats up quickly,It stores less thermal energy,It resists temperature change,It has low density,C,Materials with large specific heat capacity resist temperature change.,medium
Thermal Physics,Specific Heat Capacity,copper;temperature;energy calculation,Eduqas;AQA;OCR;Edexcel,How much energy is needed to raise the temperature of 250 g of copper by 40 K? (c = 385 J/kg·K),3850 J,385 J,38500 J,385000 J,A,Q = mcΔT = 0.25 × 385 × 40 = 3850 J.,hard
Thermal Physics,Specific Heat Capacity,thermal energy;factors;equation,Eduqas;AQA;OCR;Edexcel,Which of the following affects the amount of thermal energy required to change the temperature of a substance?,Mass only,Specific heat capacity only,Temperature only,"Mass, specific heat capacity, and temperature change",D,"Q = mcΔT depends on all three: mass, specific heat, and temperature change.",easy
Thermal Physics,Specific Heat Capacity,definition;J/kg·K;thermal energy,Eduqas;AQA;OCR;Edexcel,What does it mean if a material has a specific heat capacity of 500 J/kg·K?,500 J of energy raises 1 kg by 1 °C,1 J of energy raises 500 kg by 1 °C,500 J of energy raises 1 g by 1 K,It takes 500 J to melt the material,A,Specific heat capacity means 500 J raises 1 kg of substance by 1 K (or °C).,medium
Thermal Physics,Specific Heat Capacity,specific heat;energy;calculation,Eduqas;AQA;OCR;Edexcel,A student heats 0.2 kg of oil by 50 °C using 18000 J of energy. What is the specific heat capacity of the oil?,1800 J/kg·K,3600 J/kg·K,900 J/kg·K,4500 J/kg·K,D,c = Q / (mΔT) = 18000 / (0.2 × 50) = 18000 / 10 = 1800 J/kg·K.,hard
Thermal Physics,Latent Heat,latent heat;state change;definition,Eduqas;AQA;OCR;Edexcel,What does specific latent heat refer to?,Heat required to change temperature by 1 °C,Heat needed to change state without temperature change,Heat needed to melt 1 kg of gas,Heat released during cooling,B,Specific latent heat is the energy required to change the state of 1 kg of substance without a change in temperature.,easy
Thermal Physics,Latent Heat,latent heat;equation;Q = mL,Eduqas;AQA;OCR;Edexcel,What is the formula for specific latent heat?,Q = mcΔT,Q = mL,Q = cΔT,Q = m/T,B,"Q = mL, where Q is energy, m is mass, and L is specific latent heat.",easy
Thermal Physics,Latent Heat,ice;fusion;latent heat,Eduqas;AQA;OCR;Edexcel,What is the specific latent heat of fusion of ice?,334000 J/kg,2260000 J/kg,4200 J/kg·K,273 J/kg,A,The specific latent heat of fusion of ice is 334000 J/kg.,medium
Thermal Physics,Latent Heat,latent heat;vaporisation;calculation,Eduqas;AQA;OCR;Edexcel,How much energy is needed to vaporise 0.5 kg of water at 100 °C? (L<sub>v</sub> = 2.26×10<sup>6</sup> J/kg),1.13×10⁶ J,2.26×10⁶ J,4.52×10⁶ J,1.13×10⁵ J,A,Q = mL = 0.5 × 2.26×10⁶ = 1.13×10⁶ J.,hard
Thermal Physics,Latent Heat,melting;constant temperature;energy,Eduqas;AQA;OCR;Edexcel,Why does temperature remain constant during melting?,Heat is lost to the environment,Particles move more slowly,Energy is used to break bonds,Mass is increasing,C,Energy goes into breaking intermolecular bonds rather than increasing kinetic energy.,medium
Thermal Physics,Latent Heat,latent heat;calculation;Q = mL,Eduqas;AQA;OCR;Edexcel,"A substance absorbs 150000 J to melt completely. If its mass is 0.5 kg, what is its specific latent heat?",3.0×10⁵ J/kg,7.5×10⁴ J/kg,6.0×10⁵ J/kg,1.5×10⁵ J/kg,A,L = Q/m = 150000 / 0.5 = 3.0×10⁵ J/kg.,hard
Thermal Physics,Latent Heat,vaporisation;boiling;energy,Eduqas;AQA;OCR;Edexcel,What is the specific latent heat of vaporisation of water used for?,Calculating temperature rise of water,Calculating energy needed to boil water,Finding melting point,Calculating specific heat capacity,B,Latent heat of vaporisation is used to calculate energy needed to turn water into steam at boiling point.,easy
Thermal Physics,Latent Heat,latent heat;fusion;vaporisation,Eduqas;AQA;OCR;Edexcel,What is the main difference between latent heat of fusion and latent heat of vaporisation?,Fusion involves gas to liquid; vaporisation is liquid to gas,Fusion occurs at 100 °C; vaporisation at 0 °C,Fusion is solid to liquid; vaporisation is liquid to gas,Fusion requires more energy than vaporisation,C,Latent heat of fusion is for melting; vaporisation is for boiling.,medium
Thermal Physics,Latent Heat,condensation;internal energy;energy transfer,Eduqas;AQA;OCR;Edexcel,"During condensation, what happens to the internal energy of a substance?",It increases,It remains the same,It decreases,It becomes zero,C,"Energy is released from the substance to the surroundings, so internal energy decreases.",medium
Thermal Physics,Latent Heat,ethanol;latent heat;vaporisation,Eduqas;AQA;OCR;Edexcel,A 200 g sample of ethanol is vaporised using 1.82×10⁵ J of energy. What is its specific latent heat of vaporisation?,9.1×10⁵ J/kg,1.82×10⁵ J/kg,3.64×10⁵ J/kg,4.55×10⁵ J/kg,A,L = Q/m = 1.82×10⁵ / 0.2 = 9.1×10⁵ J/kg.,hard
Thermal Physics,Ideal Gas Equation,ideal gas equation;PV=nRT;gas laws,Eduqas;AQA;OCR;Edexcel,What is the ideal gas equation?,PV = mcΔT,P = nRT,PV = nRT,Q = mL,C,"The ideal gas law is PV = nRT, where P is pressure, V is volume, n is moles, R is gas constant, and T is temperature.",easy
Thermal Physics,Ideal Gas Equation,gas constant;ideal gas law;assumptions,Eduqas;AQA;OCR;Edexcel,Which of the following quantities is assumed constant when using PV = nRT?,Gas constant,Volume,Pressure,Temperature,A,"R is the universal gas constant, a fixed value in the ideal gas law.",easy
Thermal Physics,Ideal Gas Equation,volume;calculation;ideal gas law,Eduqas;AQA;OCR;Edexcel,Calculate the volume occupied by 1 mole of an ideal gas at 101325 Pa and 273 K. (R = 8.31 J/mol·K),0.0224 m³,0.024 m³,0.018 m³,0.026 m³,A,V = nRT/P = (1×8.31×273) / 101325 ≈ 0.0224 m³.,medium
